fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,good_quality
8.4,0.67,0.19,2.2,0.093,11.0,75.0,0.99736,3.2,0.59,9.2,0
7.6,0.54,0.13,2.5,0.097,24.0,66.0,0.99785,3.39,0.61,9.4,0
6.8,0.41,0.31,8.8,0.084,26.0,45.0,0.99824,3.38,0.64,10.1,0
10.8,0.5,0.46,2.5,0.073,5.0,27.0,1.0001,3.05,0.64,9.5,0
7.2,0.66,0.03,2.3,0.078,16.0,86.0,0.99743,3.53,0.57,9.7,0
6.8,0.59,0.06,6.0,0.06,11.0,18.0,0.9962,3.41,0.59,10.8,1
7.0,0.56,0.17,1.7,0.065,15.0,24.0,0.99514,3.44,0.68,10.55,1
9.1,0.22,0.24,2.1,0.078,1.0,28.0,0.999,3.41,0.87,10.3,0
8.0,0.38,0.44,1.9,0.098,6.0,15.0,0.9956,3.3,0.64,11.4,0
6.6,0.56,0.14,2.4,0.064,13.0,29.0,0.99397,3.42,0.62,11.7,1
7.9,1.04,0.05,2.2,0.084,13.0,29.0,0.9959,3.22,0.55,9.9,0
5.9,0.61,0.08,2.1,0.071,16.0,24.0,0.99376,3.56,0.77,11.1,0
6.6,0.57,0.02,2.1,0.115,6.0,16.0,0.99654,3.38,0.69,9.5,0
8.1,0.73,0.0,2.5,0.081,12.0,24.0,0.99798,3.38,0.46,9.6,0
9.6,0.6,0.5,2.3,0.079,28.0,71.0,0.9997,3.5,0.57,9.7,0
7.3,0.365,0.49,2.5,0.088,39.0,106.0,0.9966,3.36,0.78,11.0,0
7.4,0.68,0.16,1.8,0.078,12.0,39.0,0.9977,3.5,0.7,9.9,0
10.0,0.26,0.54,1.9,0.083,42.0,74.0,0.99451,2.98,0.63,11.8,1
8.5,0.585,0.18,2.1,0.078,5.0,30.0,0.9967,3.2,0.48,9.8,0
7.3,0.45,0.36,5.9,0.074,12.0,87.0,0.9978,3.33,0.83,10.5,0
7.1,0.59,0.02,2.3,0.082,24.0,94.0,0.99744,3.55,0.53,9.7,0
7.2,0.5,0.18,2.1,0.071,12.0,31.0,0.99761,3.52,0.72,9.6,0
8.4,0.25,0.39,2.0,0.041,4.0,10.0,0.99386,3.27,0.71,12.5,1
6.1,0.4,0.16,1.8,0.069,11.0,25.0,0.9955,3.42,0.74,10.1,1
6.8,0.48,0.25,2.0,0.076,29.0,61.0,0.9953,3.34,0.6,10.4,0
7.3,0.365,0.49,2.5,0.088,39.0,106.0,0.9966,3.36,0.78,11.0,0
10.4,0.24,0.49,1.8,0.075,6.0,20.0,0.9977,3.18,1.06,11.0,0
12.7,0.6,0.49,2.8,0.075,5.0,19.0,0.9994,3.14,0.57,11.4,0
6.8,0.48,0.08,1.8,0.074,40.0,64.0,0.99529,3.12,0.49,9.6,0
8.3,1.02,0.02,3.4,0.084,6.0,11.0,0.99892,3.48,0.49,11.0,0
8.1,0.78,0.1,3.3,0.09,4.0,13.0,0.99855,3.36,0.49,9.5,0
7.9,0.72,0.17,2.6,0.096,20.0,38.0,0.9978,3.4,0.53,9.5,0
12.5,0.46,0.63,2.0,0.071,6.0,15.0,0.9988,2.99,0.87,10.2,0
10.6,0.48,0.64,2.2,0.111,6.0,20.0,0.997,3.26,0.66,11.7,0
7.6,0.51,0.24,2.4,0.091,8.0,38.0,0.998,3.47,0.66,9.6,0
7.2,0.62,0.06,2.7,0.077,15.0,85.0,0.99746,3.51,0.54,9.5,0
7.9,0.29,0.49,2.2,0.096,21.0,59.0,0.99714,3.31,0.67,10.1,0
6.6,0.855,0.02,2.4,0.062,15.0,23.0,0.99627,3.54,0.6,11.0,0
9.0,0.62,0.04,1.9,0.146,27.0,90.0,0.9984,3.16,0.7,9.4,0
13.7,0.415,0.68,2.9,0.085,17.0,43.0,1.0014,3.06,0.8,10.0,0
8.3,0.26,0.37,1.4,0.076,8.0,23.0,0.9974,3.26,0.7,9.6,0
9.9,0.63,0.24,2.4,0.077,6.0,33.0,0.9974,3.09,0.57,9.4,0
6.3,0.6,0.1,1.6,0.048,12.0,26.0,0.99306,3.55,0.51,12.1,0
8.5,0.37,0.32,1.8,0.066,26.0,51.0,0.99456,3.38,0.72,11.8,0
9.0,0.45,0.49,2.6,0.084,21.0,75.0,0.9987,3.35,0.57,9.7,0
7.6,0.46,0.11,2.6,0.079,12.0,49.0,0.9968,3.21,0.57,10.0,0
7.2,0.695,0.13,2.0,0.076,12.0,20.0,0.99546,3.29,0.54,10.1,0
10.1,0.27,0.54,2.3,0.065,7.0,26.0,0.99531,3.17,0.53,12.5,0
5.6,0.66,0.0,2.5,0.066,7.0,15.0,0.99256,3.52,0.58,12.9,0
8.8,0.52,0.34,2.7,0.087,24.0,122.0,0.9982,3.26,0.61,9.5,0
11.9,0.695,0.53,3.4,0.128,7.0,21.0,0.9992,3.17,0.84,12.2,1
8.1,0.87,0.0,2.2,0.084,10.0,31.0,0.99656,3.25,0.5,9.8,0
7.2,0.41,0.3,2.1,0.083,35.0,72.0,0.997,3.44,0.52,9.4,0
9.9,0.35,0.55,2.1,0.062,5.0,14.0,0.9971,3.26,0.79,10.6,0
11.1,0.45,0.73,3.2,0.066,6.0,22.0,0.9986,3.17,0.66,11.2,0
9.2,0.52,1.0,3.4,0.61,32.0,69.0,0.9996,2.74,2.0,9.4,0
6.2,0.58,0.0,1.6,0.065,8.0,18.0,0.9966,3.56,0.84,9.4,0
6.7,0.42,0.27,8.6,0.068,24.0,148.0,0.9948,3.16,0.57,11.3,0
8.0,0.745,0.56,2.0,0.118,30.0,134.0,0.9968,3.24,0.66,9.4,0
8.6,0.47,0.27,2.3,0.055,14.0,28.0,0.99516,3.18,0.8,11.2,0
7.1,0.56,0.14,1.6,0.078,7.0,18.0,0.99592,3.27,0.62,9.3,0
11.6,0.475,0.4,1.4,0.091,6.0,28.0,0.99704,3.07,0.65,10.0333333333333,0
6.4,0.56,0.15,1.8,0.078,17.0,65.0,0.99294,3.33,0.6,10.5,0
9.7,0.69,0.32,2.5,0.088,22.0,91.0,0.9979,3.29,0.62,10.1,0
7.8,0.53,0.01,1.6,0.077,3.0,19.0,0.995,3.16,0.46,9.8,0
9.5,0.86,0.26,1.9,0.079,13.0,28.0,0.99712,3.25,0.62,10.0,0
6.8,0.91,0.06,2.0,0.06,4.0,11.0,0.99592,3.53,0.64,10.9,0
15.5,0.645,0.49,4.2,0.095,10.0,23.0,1.00315,2.92,0.74,11.1,0
7.2,0.415,0.36,2.0,0.081,13.0,45.0,0.9972,3.48,0.64,9.2,0
10.0,0.49,0.2,11.0,0.071,13.0,50.0,1.0015,3.16,0.69,9.2,0
13.3,0.34,0.52,3.2,0.094,17.0,53.0,1.0014,3.05,0.81,9.5,0
9.1,0.29,0.33,2.05,0.063,13.0,27.0,0.99516,3.26,0.84,11.7,1
9.6,0.38,0.31,2.5,0.096,16.0,49.0,0.9982,3.19,0.7,10.0,1
9.5,0.37,0.52,2.0,0.088,12.0,51.0,0.99613,3.29,0.58,11.1,0
8.2,0.33,0.32,2.8,0.067,4.0,12.0,0.99473,3.3,0.76,12.8,1
7.3,1.07,0.09,1.7,0.178,10.0,89.0,0.9962,3.3,0.57,9.0,0
9.3,0.41,0.39,2.2,0.064,12.0,31.0,0.9984,3.26,0.65,10.2,0
9.2,0.755,0.18,2.2,0.148,10.0,103.0,0.9969,2.87,1.36,10.2,0
7.3,0.66,0.0,2.0,0.084,6.0,23.0,0.9983,3.61,0.96,9.9,0
6.5,0.9,0.0,1.6,0.052,9.0,17.0,0.99467,3.5,0.63,10.9,0
8.9,0.635,0.37,1.7,0.263,5.0,62.0,0.9971,3.0,1.09,9.3,0
9.8,0.44,0.47,2.5,0.063,9.0,28.0,0.9981,3.24,0.65,10.8,0
9.9,0.59,0.07,3.4,0.102,32.0,71.0,1.00015,3.31,0.71,9.8,0
11.3,0.62,0.67,5.2,0.086,6.0,19.0,0.9988,3.22,0.69,13.4,1
7.1,0.715,0.0,2.35,0.071,21.0,47.0,0.99632,3.29,0.45,9.4,0
6.8,0.36,0.32,1.8,0.067,4.0,8.0,0.9928,3.36,0.55,12.8,1
6.5,0.615,0.0,1.9,0.065,9.0,18.0,0.9972,3.46,0.65,9.2,0
10.3,0.44,0.5,4.5,0.107,5.0,13.0,0.998,3.28,0.83,11.5,0
11.6,0.475,0.4,1.4,0.091,6.0,28.0,0.99704,3.07,0.65,10.0333333333333,0
10.9,0.32,0.52,1.8,0.132,17.0,44.0,0.99734,3.28,0.77,11.5,0
7.9,0.51,0.25,2.9,0.077,21.0,45.0,0.9974,3.49,0.96,12.1,0
8.5,0.46,0.31,2.25,0.078,32.0,58.0,0.998,3.33,0.54,9.8,0
7.0,0.745,0.12,1.8,0.114,15.0,64.0,0.99588,3.22,0.59,9.5,0
7.6,0.31,0.34,2.5,0.082,26.0,35.0,0.99356,3.22,0.59,12.5,1
7.1,0.84,0.02,4.4,0.096,5.0,13.0,0.997,3.41,0.57,11.0,0
8.2,0.915,0.27,2.1,0.088,7.0,23.0,0.9962,3.26,0.47,10.0,0
6.8,0.62,0.08,1.9,0.068,28.0,38.0,0.99651,3.42,0.82,9.5,0
10.0,0.42,0.5,3.4,0.107,7.0,21.0,0.9979,3.26,0.93,11.8,0
7.0,0.56,0.13,1.6,0.077,25.0,42.0,0.99629,3.34,0.59,9.2,0
7.5,0.61,0.2,1.7,0.076,36.0,60.0,0.99494,3.1,0.4,9.3,0
12.5,0.46,0.49,4.5,0.07,26.0,49.0,0.9981,3.05,0.57,9.6,0
9.4,0.33,0.59,2.8,0.079,9.0,30.0,0.9976,3.12,0.54,12.0,0
7.0,0.42,0.35,1.6,0.088,16.0,39.0,0.9961,3.34,0.55,9.2,0
11.5,0.18,0.51,4.0,0.104,4.0,23.0,0.9996,3.28,0.97,10.1,0
7.7,0.965,0.1,2.1,0.112,11.0,22.0,0.9963,3.26,0.5,9.5,0
12.7,0.6,0.65,2.3,0.063,6.0,25.0,0.9997,3.03,0.57,9.9,0
11.4,0.46,0.5,2.7,0.122,4.0,17.0,1.0006,3.13,0.7,10.2,0
7.8,0.63,0.48,1.7,0.1,14.0,96.0,0.9961,3.19,0.62,9.5,0
9.1,0.4,0.5,1.8,0.071,7.0,16.0,0.99462,3.21,0.69,12.5,1
7.1,0.16,0.44,2.5,0.068,17.0,31.0,0.99328,3.35,0.54,12.4,0
6.2,0.46,0.29,2.1,0.074,32.0,98.0,0.99578,3.33,0.62,9.8,0
5.4,0.74,0.09,1.7,0.089,16.0,26.0,0.99402,3.67,0.56,11.6,0
10.1,0.45,0.23,1.9,0.082,10.0,18.0,0.99774,3.22,0.65,9.3,0
8.0,0.67,0.3,2.0,0.06,38.0,62.0,0.9958,3.26,0.56,10.2,0
7.4,0.29,0.38,1.7,0.062,9.0,30.0,0.9968,3.41,0.53,9.5,0
6.9,0.52,0.25,2.6,0.081,10.0,37.0,0.99685,3.46,0.5,11.0,0
10.5,0.42,0.66,2.95,0.116,12.0,29.0,0.997,3.24,0.75,11.7,1
7.3,0.67,0.02,2.2,0.072,31.0,92.0,0.99566,3.32,0.68,11.0666666666667,0
7.0,0.43,0.36,1.6,0.089,14.0,37.0,0.99615,3.34,0.56,9.2,0
6.8,0.41,0.31,8.8,0.084,26.0,45.0,0.99824,3.38,0.64,10.1,0
6.0,0.64,0.05,1.9,0.066,9.0,17.0,0.99496,3.52,0.78,10.6,0
9.8,0.39,0.43,1.65,0.068,5.0,11.0,0.99478,3.19,0.46,11.4,0
8.0,0.39,0.3,1.9,0.074,32.0,84.0,0.99717,3.39,0.61,9.0,0
10.0,0.59,0.31,2.2,0.09,26.0,62.0,0.9994,3.18,0.63,10.2,0
9.7,0.42,0.46,2.1,0.074,5.0,16.0,0.99649,3.27,0.74,12.3,0
6.4,0.795,0.0,2.2,0.065,28.0,52.0,0.99378,3.49,0.52,11.6,0
5.6,0.915,0.0,2.1,0.041,17.0,78.0,0.99346,3.68,0.73,11.4,0
8.113840804132181,0.30316955175206917,0.42723183917356394,2.008927356694256,0.1807093507190241,5.22768160826436,15.77231839173564,0.9939579514697189,3.184152241239654,0.7940622874214948,12.340622874214947,1
10.408065400444796,0.3983869199110405,0.49802452516679896,2.156049050333598,0.07932261601779189,6.479836498888007,20.0,0.9962321798512231,3.14,0.7535885549221605,11.1,1
8.077382199617752,0.229563699936292,0.37217277495221895,1.714781849968146,0.056512914494584815,7.0,15.14781849968146,0.9945859127399873,3.303739965035039,0.7837399650350394,11.988691099808877,1
11.1,0.31,0.53,2.2,0.06,3.0,10.0,0.99572,3.02,0.83,10.9,1
12.712187594307078,0.30439062028464614,0.7312187594307077,2.4243751886141545,0.08490157334531388,7.682813914606159,28.439062028464615,0.9990926565800747,3.0595001508913238,0.7919531014232307,10.360937971535387,1
8.374007838404994,0.3040972565582525,0.42370039192024966,2.238326801329172,0.07061673198670829,9.123346397341654,20.123346397341656,0.9944154164606505,3.3837003919202497,0.7687665360265835,12.601322882126675,1
8.3,0.31,0.39,2.4,0.078,17.0,43.0,0.99444,3.31,0.77,12.5,1
10.5,0.51,0.64,2.4,0.107,6.0,15.0,0.9973,3.09,0.66,11.8,1
9.768339056055328,0.6559704253161326,0.3813651971059983,3.1798521265806627,0.08323026141050671,20.971217323686663,58.71217323686661,0.9988625825207926,3.3691365197106,0.7143174014470008,11.474095591317996,1
11.036815688049323,0.40020549022694474,0.515513725567362,1.5244862744326382,0.08104282357339629,21.75513725567362,41.24486274432638,0.9968382368643578,3.073869803751804,0.7722431372163191,10.120376469893744,1
7.344371461624157,0.6725164211345644,0.06721857308120788,2.3,0.06272185730812078,33.24061910270693,46.139071345939605,0.994561081162106,3.482781426918792,0.6716557192436237,12.548123820541386,1
10.429592023190079,0.24591840463801554,0.4629592023190078,1.8295920231900777,0.07588776069570233,6.0,21.88776069570233,0.9976,3.229285583766946,1.0259184046380156,10.829592023190079,1
11.578703583849109,0.5321296416150891,0.6706482080754456,3.809723121131683,0.12163889248452672,6.0,14.21296416150891,0.9979277784969054,3.0414814335396434,0.759166774535802,11.563889248452673,1
8.995460032910739,0.3904539967089261,0.5113637147558677,2.5454514097652923,0.05500017246290893,13.0,26.72725704882646,0.9950122734328029,3.3254548590234707,0.8809079934178523,13.26362852441323,1
7.891273200599271,0.6454911536429566,0.014654293013722217,2.5,0.07779637468064965,17.058178662671526,37.985455334332116,0.9962840008677653,3.340145446656679,0.7404363399700364,11.705817866267152,1
8.150587558806597,0.5313178567699549,0.20868214323004505,5.96494124411934,0.10027532253012293,5.701175117613194,11.701175117613193,0.9977619306429719,3.3454588708835384,0.6654588708835382,10.801175117613194,1
9.305041156572683,0.30640329252581466,0.4079156394976197,2.111512346971805,0.06751090544459903,13.0,26.179835373709267,0.9951312942380799,3.3010082313145364,0.8071934149483706,11.987057619201757,1
10.433185123330455,0.34334074383347724,0.5025429168430188,3.1413857082393575,0.0733362975333909,3.0,10.0,0.9959828035102168,3.118061011274933,0.7554736314310508,11.409917258629651,1
7.274989968809491,0.5593807679345424,0.1312424766071187,2.3125050155952542,0.05637474922023729,6.0,11.437474922023728,0.993954330611982,3.3893727429821356,0.6862484953214237,12.175030093571525,1
9.110850872113755,0.46370697806393724,0.53,3.827485650088747,0.0970705064742437,3.0,10.0,0.9958465822172291,3.1917901519538123,0.6130019133215003,11.984990433392499,1
9.67860437361864,0.3292034293939611,0.49169189862743695,2.2606978131906796,0.0729552335989301,6.3482554670233,18.6965109340466,0.9960119420478074,3.1791046719786022,1.0115931412120778,11.68657007967903,1
9.434611561924209,0.2755233634688605,0.46944042043360756,2.2374094597561704,0.07597202102168038,10.48601051084019,20.02797897831962,0.9958990881984553,3.322518108048766,0.6968186335907754,11.754196846747943,1
8.351442891081199,0.29028857821624,0.3356730602548229,3.1706756605024564,0.076028857821624,14.701918076446859,47.0,0.996623656479738,3.395673060254823,0.7778365301274115,11.126922410192915,1
7.817234225857017,0.3705185826518095,0.3713777008178286,2.160345721767873,0.07429282625195938,6.0,12.0,0.9946050077793804,3.3686222991821713,0.680345721767873,11.856888504089143,1
6.897669360182299,0.451803526956704,0.2817425420592471,2.6110433501139365,0.08765149158815058,23.755826599544253,39.732520201367244,0.9941759986786286,3.3891287289703764,0.7162208670022787,12.295338720364597,1
7.117418225248048,0.3961508953381184,0.29522546757441415,2.055054516501302,0.06227527258250651,14.72472741749349,28.137636291253255,0.9945995255073852,3.256150895338118,0.714860007962142,11.355054516501303,1
11.529328873120699,0.5178849496778342,0.6514185060217992,3.596996654840524,0.1178702786667738,5.949520623657643,13.949520623657643,0.9977899041247316,3.05,0.74,11.449520623657643,1
10.570585303814193,0.3423511822885154,0.5538219170978058,2.226463259535481,0.08523511822885153,6.0,20.147073480929038,0.9968835417239804,3.156178082902194,0.7641220442787113,11.055877955721288,1
7.461507224644713,0.3436706187419253,0.3358729899870805,2.9698391989664357,0.06436706187419253,20.779762875484483,37.14682474967701,0.9954488679507025,3.34559525750969,0.7729364949935402,12.011905150193794,1
8.595269775847724,0.22665557845329698,0.43476348879238613,2.053941853460231,0.07246058146539769,9.492116293079539,20.492116293079537,0.9948800665292802,3.3947634887923863,0.7650788370692047,12.306306965536368,1
8.306037906912396,0.430989326595875,0.3989549130314479,2.5483511223402084,0.05664839898938125,13.0,26.74175561170104,0.9946332929686155,3.3406595510639163,0.8535160101061875,13.167580050530939,1
8.132691395009392,0.4393752966219479,0.23175433994231287,2.0704321218808692,0.0809687648310974,12.0,18.54086424376174,0.9949552419133593,3.222644436122887,0.6411296365642608,11.20312351689026,1
10.696006515057094,0.3531947879543237,0.5321964167185975,2.5960065150570957,0.07073879471443736,5.0199674247145225,15.980032575285477,0.9972019967424715,3.1488019545171286,0.6501996742471452,11.015973939771618,1
8.458120096607843,0.36029527624028523,0.3853690953003565,2.153690953003565,0.08428051242827095,5.50738190600713,10.0,0.9951286565261133,3.198966533159002,0.5602952762402852,11.555167334204992,1
10.4,0.3004123550741243,0.5741122262511236,2.4712483897124917,0.08104123550741243,5.328751610287508,21.671248389712492,0.9990767464573675,3.256712483897125,0.8320504508805023,11.068499355884997,1
7.0299392311149465,0.3163340085431673,0.4033400854316726,2.4366599145683274,0.06869858205934876,24.73319829136655,34.366599145683274,0.9943707530935254,3.2643380598021707,0.7230141794065125,11.929939231114947,1
9.036203866289469,0.43917524480770714,0.3120072809389096,2.5118252574661684,0.06816131056900374,9.759854381221807,28.0,0.996476846598009,3.3083868943099626,0.708423299004511,11.2,1
9.107586332810866,0.29910359937303965,0.3428967657784729,2.084138497648899,0.06239309337513069,12.924136671891336,26.848273343782672,0.9951630345331244,3.266069066248693,0.8362068335945668,11.821381324973862,1
9.245344333707221,0.38017883198027536,0.4522672166853611,4.3164646117965715,0.08858705167975273,3.128879721910649,10.0,0.9960252703869928,3.277732783314639,0.6477327833146389,12.277327833146389,1
12.8,0.3,0.74,2.6,0.095,9.0,28.0,0.9994,3.2,0.77,10.8,1
9.663287575838936,0.4848097306487706,0.3369619461297541,2.8012788885905713,0.09293668114541394,10.0,45.30380538702459,0.9987098752390157,3.2612663770917214,0.62582345789709,9.821522154809834,1
5.913660538802818,0.41167036964103537,0.28665926071792924,1.9722345654701179,0.08755753047521887,22.72234565470118,55.0,0.9947433185214358,3.6967036964103537,0.6649888910768939,12.119524675555768,1
8.233725663511642,0.4333137168244179,0.34154751531180716,1.884524846881929,0.06056349897921286,31.0,51.486123213622506,0.9970932548672977,3.285634989792128,0.7110512933834535,10.21547515311807,1
9.145435974680256,0.39908719493605127,0.48181199156008553,2.7000680928390595,0.06500340464195296,12.0,24.818119915600857,0.9952527452244757,3.319993190716094,0.773630792404077,13.063555890281112,1
7.123466173340909,0.4153067653318181,0.2239531976687501,2.007400369994318,0.07261733086670455,15.617330866704547,24.691334566647726,0.9939791429571725,3.2953067653318184,0.7069133456664772,11.78023401165625,1
7.354817385140983,0.3651605795046994,0.45483942049530063,2.523167519385352,0.07441284636037596,24.103211590093988,43.793576819812024,0.9953358715363962,3.383486145584962,0.841743072792481,11.16513854415038,1
9.410942460394308,0.4847396164026287,0.45640734128674787,2.847396164026287,0.06884376984157724,10.0,27.052076719474254,0.9965895846561051,3.249426521155312,0.722135780428916,11.816150132341734,1
7.565953809183178,0.4168359703189951,0.3332976904591589,2.133244226147897,0.05734580833929438,32.32976904591589,53.667557738521026,0.996522031643828,3.290026732155631,0.7696792141324302,10.797861427549535,1
11.534736347755599,0.4775984167437881,0.5641520193197554,1.434463974240326,0.06696880450794296,22.65536025759674,42.0,0.9975278435529076,2.9751423587845216,0.7024015832562119,10.551695961360489,1
9.061542196238266,0.31115179206895377,0.36461202338556076,2.1557589603447687,0.06088482079310462,13.0,27.0,0.9951292337569907,3.27153734112852,0.8515373411285202,12.02689133197474,1
8.45913138373352,0.3371391968613465,0.3975478830240113,4.601915320960451,0.054795656918667605,3.040868616266479,8.95913138373352,0.9972868195549125,3.3808173723253296,0.6591826276746705,11.575478830240112,1
7.167574025228865,0.6211449354934022,0.05068051892164936,2.366212987385567,0.053689350630721645,6.0,11.168935063072164,0.9934790150616377,3.3652041556764947,0.6701361037843299,12.497277924313401,1
10.211436135612784,0.3406449372935154,0.43636300509990716,1.9760969576931442,0.0864222039003103,9.835771017095876,28.278590339031958,0.996798005294929,3.24,0.8077127728774433,11.339295169515978,1
8.36459790314465,0.26416083874213975,0.3776092661006277,2.1416083874213974,0.04560227259119542,4.0,10.354020968553494,0.9940139991213207,3.2753103145283022,0.7188505242138373,12.553103145283025,1
11.507281638601716,0.31669461993644166,0.49177405067514113,3.253640819300858,0.09104854425734478,53.2016771961865,80.70962027005645,0.999760035432565,3.3026610760127113,0.76,10.797572787132761,1
10.5,0.51,0.64,2.4,0.107,6.0,15.0,0.9973,3.09,0.66,11.8,1
8.2,0.3069610615983637,0.3568623014426181,2.6156884927869095,0.060088318479509115,4.0,11.078442463934548,0.9941908888414017,3.313823363040982,0.7323532739180364,12.8,1
7.639634527057956,0.38142996534347867,0.32619001155217375,3.187332563188415,0.06388867205768109,9.0,28.793666281594206,0.9946882143191189,3.271746651263768,0.5601534642579694,11.279366628159421,1
10.480741236218272,0.3409629381890864,0.5045011097266348,3.0742476665153813,0.07238517527563457,3.0,10.0,0.9959640608069023,3.111067465262019,0.7607887264008657,11.373550819362498,1
10.351025181256457,0.4007517995880685,0.5655125906282286,2.4993165458290285,0.08316402900103313,5.5034172708548565,14.006834541709713,0.9974489748187435,3.070136690834194,0.6997266183316114,11.154442452111315,1
7.2,0.3661921034274127,0.43523158629034925,2.3167236199594443,0.07214236897177619,23.690394828629366,43.38078965725873,0.9947889027949602,3.381423689717762,0.8097513277218175,11.588249825604207,1
11.517444506333693,0.3294349135618638,0.5413513292349583,2.7842751440635602,0.08131449711872879,35.0,67.0,1.0000820635804766,3.318427514406356,0.9125306934301912,10.8393121398411,1
7.401768803272872,0.35598820797818087,0.334041272076367,1.719764159563617,0.06679941039890905,3.7994103989090426,7.799410398909043,0.9931811202420728,3.325899767814537,0.55,12.51917455847266,1
11.748839844203637,0.4434889649458183,0.5586049805254546,1.4627900389490907,0.08681380856879997,22.372099610509093,41.37209961050909,0.9975918647468309,2.9827900389490907,0.7302320311592726,10.123259766305456,1
10.96729638722045,0.3049055419169323,0.5791824096805113,2.1163518063897744,0.05669804805431277,6.918240968051128,19.08175903194887,0.9978986188003834,3.2961009645686916,0.8669185548881805,10.549055419169322,1
6.8988628992854215,0.5385083660981522,0.20286955773223792,1.7379264127679668,0.06575852825535934,14.873578624106777,24.0,0.9950312776167318,3.441264213758932,0.7040200614197124,10.632173894330595,1
9.068348960212726,0.3050342438989555,0.3276261720159544,2.10934569960114,0.06323738279840456,12.76261720159544,27.079127599468187,0.9952581182233405,3.265538931962773,0.8265483080904082,11.660436200265906,1
12.641197304377355,0.3116048123724241,0.733281424415965,2.618323387956459,0.09359520692333813,9.061077959854863,27.877844080290274,0.9992411973043773,3.1975568816058058,0.7706107795985486,10.903832531753268,1
7.3215021185177624,0.4820177172225905,0.0969071768515213,1.9892489407411185,0.08075552701855346,8.446244703705592,14.276877648147204,0.9947969367055558,3.3923122351852797,0.619219412036801,11.610751059258881,1
9.693022687565428,0.4126357184455265,0.30511623036275104,2.283720767875837,0.08112402559586124,4.612402559586123,16.80620127979306,0.9967079068062696,3.2184496800517346,0.7023256544558735,10.580620127979305,1
5.5027844953861464,0.45209972878824145,0.20517403096163417,2.1755220928849024,0.03444779071150975,21.034806192326833,100.74825969038366,0.9919569370550751,3.4096519380767316,0.749164651384156,12.59791162846039,1
7.279754650326581,0.556786216515852,0.13749882812967845,5.7416705729010715,0.06221425223227652,10.815478980643622,18.369042038712756,0.996402973121292,3.397083528645054,0.6269042038712754,11.05832942709893,1
7.123373308341775,0.47184965563255665,0.1323373308341776,2.3267277368321513,0.06853455473664304,13.0,26.20934932333671,0.9939107719308721,3.3706910947328605,0.7451219188004052,12.332520541330632,1
10.703622317766895,0.35186609439079347,0.5207244635533789,2.0629527897208617,0.06029802574745349,7.0,19.370472102791382,0.9971330952794681,3.247019742525465,0.8466575107487756,10.722283261674828,1
6.2371448355415495,0.3323689074824736,0.2657738507404489,2.1030954029617956,0.05690713791114613,19.0,49.48452298519102,0.9942567659934526,3.555047355261127,0.7503095402961796,12.402021254092165,1
7.82365095430606,0.3132778340071207,0.4821584731103053,2.5107923655515263,0.17685135194162327,5.0,10.0,0.9953390531376938,3.262365095430606,0.7461424233736402,10.703731202989385,1
10.4,0.33,0.63,2.8,0.084,5.0,22.0,0.9998,3.26,0.74,11.2,1
7.913690982573648,0.44299722270934816,0.30925069432266294,3.1700277729065185,0.06368732641933426,9.537465283866853,28.46253471613315,0.9953639222358618,3.3068732641933427,0.5867437510960334,11.246253471613315,1
10.424241281440127,0.45444360638942644,0.6021206407200634,2.450505812373249,0.09487860503042031,5.747470938133756,14.494941876267513,0.9973757587185599,3.07989883752535,0.6802023249492994,11.471712219573885,1
8.374321757976581,0.3777034726070255,0.4145930547859489,2.281658398554701,0.06391708007226495,12.0,18.963316797109403,0.9955066029765204,3.1755024804335896,0.8008291992773506,11.17432175797658,1
10.326218472172009,0.30514621666064123,0.5000974777737608,2.6,0.061776806387784225,5.0,13.757310833032061,0.9974990252222624,3.075243694434402,0.7172806750090381,10.62621847217201,1
7.029975621173171,0.4968713799065202,0.11746114079925218,2.0573300828230896,0.05798689420238373,36.4266991717691,53.0,0.9941011795217854,3.3270679668707643,0.8316626035288619,11.829320331292358,1
12.77904136753744,0.301047931623128,0.737904136753744,2.55808273507488,0.09258975726680559,8.685620513061597,28.104793162312802,0.999326644786381,3.166466188059904,0.77523965811564,10.6952068376872,1
7.009341953692533,0.72289806041918,0.06093419536925329,2.5464967673653,0.07609341953692533,16.488322557884334,33.48832255788433,0.9964517200423352,3.58,0.7876645115768668,11.5324838368265,1
6.366056742632657,0.4638536182318379,0.11743092117877475,2.1192680911591895,0.06953211348526532,12.064226970530632,25.532113485265317,0.9944783421082907,3.4093577302946936,0.7293577302946936,11.377072364636756,1
5.871556849895015,0.44572128272154626,0.28286064136077316,2.128606413607731,0.09103545189794202,22.78565597732045,55.4286880453591,0.9951590507275136,3.7360594753506917,0.6475020407937844,12.21426239092818,1
8.255258763317654,0.2876293816588273,0.3676293816588273,2.4447412366823453,0.07576293816588273,16.552587633176547,44.78964946729382,0.9951111185502352,3.350267113014111,0.7744741236682345,11.963105159811855,1
11.81304690658201,0.4579355539809521,0.5666308633227511,1.4467382733544976,0.08328242013798949,22.532617266455023,41.53261726645502,0.9976962012231958,2.9667382733544976,0.7173906186835982,10.219570359873014,1
